socialWorkerID,fname,lname,gender,email,password,contact,licenseNum
sw01,Amjed,Molla,male,molla@gmail.com,11111111,1700000001,
sw02,Jahangir,kabir,male,kabir@gmail.com,22222222,1700000002,
sw03,Isha,Gazi,male,gazi@gmail.com,33333333,1700000003,
sw04,Susmita,Rai,female,rai@gmail.com,44444444,1700000004,
sw05,Zia,Khan,male,khan@gmail.com,55555555,1700000005,
sw06,Kuldip,Nayer,male,nayer@gmail.com,66666666,1700000006,
sw07,Sayem,Batiya,female,batiya@gmail.com,77777777,1700000007,
sw08,Arpa,Azad,female,azad@gmail.com,88888888,1700000008,
sw09,Farha,Khan,female,khan@gmail.com,99999999,1700000009,
sw10,Raju,Rastogi,male,rastogi@gmail.com,10101010,1700000010,
sw11,Farhan,Qruashi,male,qruashi@gmail.com,20202020,1700000011,
sw12,Amir,Khan,male,khan@gmail.com,30303030,1700000012,
sw13,Pria,Chanchar,female,chanchar@gmail.com,33333333,1700000013,
sw14,Kammo,Rastogi,female,rastogi@gmail.com,44444444,1700000014,
sw15,Mahmud,Hasan,male,hasan@gmail.com,55555555,1700000015,
